lat,lon,year,scenario,chill_days
29.65,-111.543,2020,ssp126,51
29.65,-110.319,2020,ssp126,68
29.65,-109.096,2020,ssp126,80
29.65,-107.872,2020,ssp126,91
29.65,-106.649,2020,ssp126,88
29.65,-105.426,2020,ssp126,80
29.65,-104.202,2020,ssp126,75
29.65,-102.979,2020,ssp126,72
29.65,-101.755,2020,ssp126,70
29.65,-100.532,2020,ssp126,67
29.65,-99.308,2020,ssp126,62
29.65,-98.085,2020,ssp126,56
29.65,-96.862,2020,ssp126,47
29.65,-95.638,2020,ssp126,35
29.65,-94.415,2020,ssp126,26
29.65,-93.192,2020,ssp126,22
29.65,-91.968,2020,ssp126,18
29.65,-90.745,2020,ssp126,17
29.65,-89.521,2020,ssp126,15
29.65,-88.298,2020,ssp126,10
29.65,-87.074,2020,ssp126,8
29.65,-85.851,2020,ssp126,11
29.65,-84.628,2020,ssp126,14
29.65,-83.404,2020,ssp126,16
29.65,-82.181,2020,ssp126,16
29.65,-80.957,2020,ssp126,7
29.65,-79.734,2020,ssp126,0
29.65,-78.511,2020,ssp126,0
29.65,-77.287,2020,ssp126,0
29.65,-76.064,2020,ssp126,0
29.65,-74.84,2020,ssp126,0
29.65,-73.617,2020,ssp126,0
29.65,-72.394,2020,ssp126,0
29.65,-71.17,2020,ssp126,0
29.65,-69.947,2020,ssp126,0
29.65,-68.723,2020,ssp126,0
29.65,-67.5,2020,ssp126,0
30.268,-125.0,2020,ssp126,0
30.268,-123.777,2020,ssp126,0
30.268,-122.553,2020,ssp126,0
30.268,-121.33,2020,ssp126,0
30.268,-120.106,2020,ssp126,0
30.268,-118.883,2020,ssp126,0
30.268,-117.66,2020,ssp126,0
30.268,-116.436,2020,ssp126,15
30.268,-115.213,2020,ssp126,33
30.268,-113.989,2020,ssp126,41
30.268,-112.766,2020,ssp126,48
30.268,-111.543,2020,ssp126,65
30.268,-110.319,2020,ssp126,84
30.268,-109.096,2020,ssp126,89
30.268,-107.872,2020,ssp126,88
30.268,-106.649,2020,ssp126,85
30.268,-105.426,2020,ssp126,80
30.268,-104.202,2020,ssp126,77
30.268,-102.979,2020,ssp126,75
30.268,-101.755,2020,ssp126,73
30.268,-100.532,2020,ssp126,72
30.268,-99.308,2020,ssp126,70
30.268,-98.085,2020,ssp126,67
30.268,-96.862,2020,ssp126,61
30.268,-95.638,2020,ssp126,50
30.268,-94.415,2020,ssp126,42
30.268,-93.192,2020,ssp126,37
30.268,-91.968,2020,ssp126,33
30.268,-90.745,2020,ssp126,32
30.268,-89.521,2020,ssp126,29
30.268,-88.298,2020,ssp126,22
30.268,-87.074,2020,ssp126,19
30.268,-85.851,2020,ssp126,25
30.268,-84.628,2020,ssp126,29
30.268,-83.404,2020,ssp126,28
30.268,-82.181,2020,ssp126,24
30.268,-80.957,2020,ssp126,11
30.268,-79.734,2020,ssp126,1
30.268,-78.511,2020,ssp126,0
30.268,-77.287,2020,ssp126,0
30.268,-76.064,2020,ssp126,0
30.268,-74.84,2020,ssp126,0
30.268,-73.617,2020,ssp126,0
30.268,-72.394,2020,ssp126,0
30.268,-71.17,2020,ssp126,0
30.268,-69.947,2020,ssp126,0
30.268,-68.723,2020,ssp126,0
30.268,-67.5,2020,ssp126,0
30.886,-125.0,2020,ssp126,0
30.886,-123.777,2020,ssp126,0
30.886,-122.553,2020,ssp126,0
30.886,-121.33,2020,ssp126,0
30.886,-120.106,2020,ssp126,0
30.886,-118.883,2020,ssp126,0
30.886,-117.66,2020,ssp126,0
30.886,-116.436,2020,ssp126,21
30.886,-115.213,2020,ssp126,46
30.886,-113.989,2020,ssp126,53
30.886,-112.766,2020,ssp126,57
30.886,-111.543,2020,ssp126,72
30.886,-110.319,2020,ssp126,90
30.886,-109.096,2020,ssp126,91
30.886,-107.872,2020,ssp126,87
30.886,-106.649,2020,ssp126,83
30.886,-105.426,2020,ssp126,79
